Chapter; Section # ; Section Name; Subsection ; Sub-subsection ; Sub-Sub-subsection ; Text 
2;25; Property ;2; b ;; subject to compensation, the amount of which and the time and manner of payment of which have either been agreed to by those affected or decided or approved by a court. 
2;25; Property ;3; ;; The amount of the compensation and the time and manner of payment must be just and equitable, reflecting an equitable balance between the public interest and the interests of those affected, having regard to all relevant circumstances, including – 
2;25; Property ;3; a ;;" the current use of the property; "
2;25; Property ;3; b ;;" the history of the acquisition and use of the property; "
2;25; Property ;3; c ;;" the market value of the property; "
2;25; Property ;3; d ;;" the extent of direct state investment and subsidy in the acquisition and beneficial capital improvement of the property; and "
2;25; Property ;3; e ;; the purpose of the expropriation. 
2;25; Property ;4; ;; For the purposes of this section – 
2;25; Property ;4; a ;;" the public interest includes the nation’s commitment to land reform, and to reforms to bring about equitable access to all South Africa’s natural resources; and "
2;25; Property ;4; b ;; property is not limited to land. 
2;25; Property ;5; ;; The state must take reasonable legislative and other measures, within its available resources, to foster conditions which enable citizens to gain access to land on an equitable basis. 
2;25; Property ;6; ;; A person or community whose tenure of land is legally insecure as a result of past racially discriminatory laws or practices is entitled, to the extent provided by an Act of Parliament, either to tenure which is legally secure or to comparable redress. 
2;25; Property ;7; ;; A person or community dispossessed of property after 19 June 1913 as a result of past racially discriminatory laws or practices is entitled, to the extent provided by an Act of Parliament, either to restitution of that property or to equitable redress. 
2;25; Property ;8; ;; No provision of this section may impede the state from taking legislative and other measures to achieve land, water and related reform, in order to redress the results of past racial discrimination, provided that any departure from the provisions of this section is in accordance with the provisions of section 36(1). 
2;25; Property ;9; ;; Parliament must enact the legislation referred to in subsection (6). 
2;26; Housing ;1; ;; Everyone has the right to have access to adequate housing. 
2;26; Housing ;2; ;; The state must take reasonable legislative and other measures, within its available resources, to achieve the progressive realisation of this right. 
2;26; Housing ;3; ;; No one may be evicted from their home, or have their home demolished, without an order of court made after considering all the relevant circumstances. No legislation may permit arbitrary evictions. 
2;27; Health care, food, water and social security ;1; ;; Everyone has the right to have access to – 
2;27; Health care, food, water and social security ;1; a ;;" health care services, including reproductive health care; "
2;27; Health care, food, water and social security ;1; b ;;" sufficient food and water; and "
2;27; Health care, food, water and social security ;1; c ;; social security, including, if they are unable to support themselves and their dependants, appropriate social assistance. 
2;27; Health care, food, water and social security ;2; ;; The state must take reasonable legislative and other measures, within its available resources, to achieve the progressive realisation of each of these rights. 
2;27; Health care, food, water and social security ;3; ;; No one may be refused emergency medical treatment. 
2;28; Children ;1; ;; Every child has the right – 
2;28; Children ;1; a ;;" to a name and a nationality from birth; "
2;28; Children ;1; b ;;" to family care or parental care, or to appropriate alternative care when removed from the family environment; "
2;28; Children ;1; c ;;" to basic nutrition, shelter, basic health care services and social services; "
2;28; Children ;1; d ;;" to be protected from maltreatment, neglect, abuse or degradation; "
2;28; Children ;1; e ;;" to be protected from exploitative labour practices; "
2;28; Children ;1; f ;; not to be required or permitted to perform work or provide services that – 
2;28; Children ;1; f ; (i) ;" are inappropriate for a person of that child’s age; or "
2;28; Children ;1; f ; (ii) ;" place at risk the child’s well‑being, education, physical or mental health or spiritual, moral or social development; "
2;28; Children ;1; g ;; not to be detained except as a measure of last resort, in which case, in addition to the rights a child enjoys under sections 12 and 35, the child may be detained only for the shortest appropriate period of time, and has the right to be – 
2;28; Children ;1; g ; (i) ;" kept separately from detained persons over the age of 18 years; and "
2;28; Children ;1; g ; (ii) ;" treated in a manner, and kept in conditions, that take account of the child’s age; "
2;28; Children ;1; h ;;" to have a legal practitioner assigned to the child by the state, and at state expense, in civil proceedings affecting the child, if substantial injustice would otherwise result; and "
2;28; Children ;1; i ;; not to be used directly in armed conflict, and to be protected in times of armed conflict. 
2;28; Children ;2; ;; A child’s best interests are of paramount importance in every matter concerning the child. 
2;28; Children ;3; ;; In this section “child” means a person under the age of 18 years. 
2;29; Education ;1; ;; Everyone has the right – 
2;29; Education ;1; a ;;" to a basic education, including adult basic education; and "
2;29; Education ;1; b ;; to further education, which the state, through reasonable measures, must make progressively available and accessible. 
2;29; Education ;2; ;; Everyone has the right to receive education in the official language or languages of their choice in public educational institutions where that education is reasonably practicable. In order to ensure the effective access to, and implementation of, this right, the state must consider all reasonable educational alternatives, including single medium institutions, taking into account – 
2;29; Education ;2; a ;;" equity; "
2;29; Education ;2; b ;;" practicability; and "
2;29; Education ;2; c ;; the need to redress the results of past racially discriminatory laws and practices. 
2;29; Education ;3; ;; Everyone has the right to establish and maintain, at their own expense, independent educational institutions that – 
2;29; Education ;3; a ;;" do not discriminate on the basis of race; "
2;29; Education ;3; b ;;" are registered with the state; and "
2;29; Education ;3; c ;; maintain standards that are not inferior to standards at comparable public educational institutions. 
2;29; Education ;4; ;; Subsection (3) does not preclude state subsidies for independent educational institutions. 
2;30; Language and culture ; ; ;; Everyone has the right to use the language and to participate in the cultural life of their choice, but no one exercising these rights may do so in a manner inconsistent with any provision of the Bill of Rights. 
2;31; Cultural, religious and linguistic communities ;1; ;; Persons belonging to a cultural, religious or linguistic community may not be denied the right, with other members of that community – 
2;31; Cultural, religious and linguistic communities ;1; a ;;" to enjoy their culture, practise their religion and use their language; and "
2;31; Cultural, religious and linguistic communities ;1; b ;; to form, join and maintain cultural, religious and linguistic associations and other organs of civil society. 
2;31; Cultural, religious and linguistic communities ;2; ;; The rights in subsection (1) may not be exercised in a manner inconsistent with any provision of the Bill of Rights. 
2;32; Access to information ;1; ;; Everyone has the right of access to – 
2;32; Access to information ;1; a ;;" any information held by the state; and "
2;32; Access to information ;1; b ;; any information that is held by another person and that is required for the exercise or protection of any rights. 
2;32; Access to information ;2; ;; National legislation must be enacted to give effect to this right, and may provide for reasonable measures to alleviate the administrative and financial burden on the state. 
2;33; Just administrative action ;1; ;; Everyone has the right to administrative action that is lawful, reasonable and procedurally fair. 
2;33; Just administrative action ;2; ;; Everyone whose rights have been adversely affected by administrative action has the right to be given written reasons. 
2;33; Just administrative action ;3; ;; National legislation must be enacted to give effect to these rights, and must – 
2;33; Just administrative action ;3; a ;;" provide for the review of administrative action by a court or, where appropriate, an independent and impartial tribunal; "
2;33; Just administrative action ;3; b ;;" impose a duty on the state to give effect to the rights in subsections (1) and (2); and "
2;33; Just administrative action ;3; c ;; promote an efficient administration. 
2;34; Access to courts ; ; ;; Everyone has the right to have any dispute that can be resolved by the application of law decided in a fair public hearing before a court or, where appropriate, another independent and impartial tribunal or forum. 
2;35; Arrested, detained and accused persons ;1; ;; Everyone who is arrested for allegedly committing an offence has the right – 
2;35; Arrested, detained and accused persons ;1; a ;;" to remain silent; "
2;35; Arrested, detained and accused persons ;1; b ;; to be informed promptly – 
2;35; Arrested, detained and accused persons ;1; b ; (i) ;" of the right to remain silent; and "
2;35; Arrested, detained and accused persons ;1; b ; (ii) ;" of the consequences of not remaining silent; "
2;35; Arrested, detained and accused persons ;1; c ;;" not to be compelled to make any confession or admission that could be used in evidence against that person; "
2;35; Arrested, detained and accused persons ;1; d ;; to be brought before a court as soon as reasonably possible, but not later than – 
2;35; Arrested, detained and accused persons ;1; d ; (i) ;" 48 hours after the arrest; or "
2;35; Arrested, detained and accused persons ;1; d ; (ii) ;" the end of the first court day after the expiry of the 48 hours, if the 48 hours expire outside ordinary court hours or on a day which is not an ordinary court day; "
2;35; Arrested, detained and accused persons ;1; e ;;" at the first court appearance after being arrested, to be charged or to be informed of the reason for the detention to continue, or to be released; and "
2;35; Arrested, detained and accused persons ;1; f ;; to be released from detention if the interests of justice permit, subject to reasonable conditions. 
2;35; Arrested, detained and accused persons ;2; ;; Everyone who is detained, including every sentenced prisoner, has the right – 
2;35; Arrested, detained and accused persons ;2; a ;;" to be informed promptly of the reason for being detained; "
2;35; Arrested, detained and accused persons ;2; b ;;" to choose, and to consult with, a legal practitioner, and to be informed of this right promptly; "
2;35; Arrested, detained and accused persons ;2; c ;;" to have a legal practitioner assigned to the detained person by the state and at state expense, if substantial injustice would otherwise result, and to be informed of this right promptly; "
2;35; Arrested, detained and accused persons ;2; d ;;" to challenge the lawfulness of the detention in person before a court and, if the detention is unlawful, to be released; "
2;35; Arrested, detained and accused persons ;2; e ;;" to conditions of detention that are consistent with human dignity, including at least exercise and the provision, at state expense, of adequate accommodation, nutrition, reading material and medical treatment; and "
2;35; Arrested, detained and accused persons ;2; f ;; to communicate with, and be visited by, that person’s – 
2;35; Arrested, detained and accused persons ;2; f ; (i) ;" spouse or partner; "
2;35; Arrested, detained and accused persons ;2; f ; (ii) ;" next of kin; "
2;35; Arrested, detained and accused persons ;2; f ; (iii) ;" chosen religious counsellor; and "
2;35; Arrested, detained and accused persons ;2; f ; (iv) ; chosen medical practitioner. 
2;35; Arrested, detained and accused persons ;3; ;; Every accused person has a right to a fair trial, which includes the right – 
2;35; Arrested, detained and accused persons ;3; a ;;" to be informed of the charge with sufficient detail to answer it; "
2;35; Arrested, detained and accused persons ;3; b ;;" to have adequate time and facilities to prepare a defence; "
2;35; Arrested, detained and accused persons ;3; c ;;" to a public trial before an ordinary court; "
2;35; Arrested, detained and accused persons ;3; d ;;" to have their trial begin and conclude without unreasonable delay; "
2;35; Arrested, detained and accused persons ;3; e ;;" to be present when being tried; "
2;35; Arrested, detained and accused persons ;3; f ;;" to choose, and be represented by, a legal practitioner, and to be informed of this right promptly; "
2;35; Arrested, detained and accused persons ;3; g ;;" to have a legal practitioner assigned to the accused person by the state and at state expense, if substantial injustice would otherwise result, and to be informed of this right promptly; "
2;35; Arrested, detained and accused persons ;3; h ;;" to be presumed innocent, to remain silent, and not to testify during the proceedings; "
2;35; Arrested, detained and accused persons ;3; i ;;" to adduce and challenge evidence; "
2;35; Arrested, detained and accused persons ;3; j ;;" not to be compelled to give self‑incriminating evidence; "
2;35; Arrested, detained and accused persons ;3; k ;;" to be tried in a language that the accused person understands or, if that is not practicable, to have the proceedings interpreted in that language; "
2;35; Arrested, detained and accused persons ;3; l ;;" not to be convicted for an act or omission that was not an offence under either national or international law at the time it was committed or omitted; "
2;35; Arrested, detained and accused persons ;3; m ;;" not to be tried for an offence in respect of an act or omission for which that person has previously been either acquitted or convicted; "
2;35; Arrested, detained and accused persons ;3; n ;;" to the benefit of the least severe of the prescribed punishments if the prescribed punishment for the offence has been changed between the time that the offence was committed and the time of sentencing; and "
2;35; Arrested, detained and accused persons ;3; o ;; of appeal to, or review by, a higher court. 
2;35; Arrested, detained and accused persons ;4; ;; Whenever this section requires information to be given to a person, that information must be given in a language that the person understands. 
2;35; Arrested, detained and accused persons ;5; ;; Evidence obtained in a manner that violates any right in the Bill of Rights must be excluded if the admission of that evidence would render the trial unfair or otherwise be detrimental to the administration of justice. 
2;36; Limitation of rights ;1; ;; The rights in the Bill of Rights may be limited only in terms of law of general application to the extent that the limitation is reasonable and justifiable in an open and democratic society based on human dignity, equality and freedom, taking into account all relevant factors, including – 
2;36; Limitation of rights ;1; a ;;" the nature of the right; "
2;36; Limitation of rights ;1; b ;;" the importance of the purpose of the limitation; "
2;36; Limitation of rights ;1; c ;;" the nature and extent of the limitation; "
2;36; Limitation of rights ;1; d ;;" the relation between the limitation and its purpose; and "
2;36; Limitation of rights ;1; e ;; less restrictive means to achieve the purpose. 
2;36; Limitation of rights ;2; ;; Except as provided in subsection (1) or in any other provision of the Constitution, no law may limit any right entrenched in the Bill of Rights. 
2;37; States of emergency ;1; ;; A state of emergency may be declared only in terms of an Act of Parliament, and only when – 
2;37; States of emergency ;1; a ;;" the life of the nation is threatened by war, invasion, general insurrection, disorder, natural disaster or other public emergency; and "
2;37; States of emergency ;1; b ;; the declaration is necessary to restore peace and order. 
2;37; States of emergency ;2; ;; A declaration of a state of emergency, and any legislation enacted or other action taken in consequence of that declaration, may be effective only – 
2;37; States of emergency ;2; a ;;" prospectively; and "
2;37; States of emergency ;2; b ;; for no more than 21 days from the date of the declaration, unless the National Assembly resolves to extend the declaration. The Assembly may extend a declaration of a state of emergency for no more than three months at a time. The first extension of the state of emergency must be by a resolution adopted with a supporting vote of a majority of the members of the Assembly. Any subsequent extension must be by a resolution adopted with a supporting vote of at least 60 per cent of the members of the Assembly. A resolution in terms of this paragraph may be adopted only following a public debate in the Assembly. 
2;37; States of emergency ;3; ;; Any competent court may decide on the validity of – 
2;37; States of emergency ;3; a ;;" a declaration of a state of emergency; "
2;37; States of emergency ;3; b ;;" any extension of a declaration of a state of emergency; or "
2;37; States of emergency ;3; c ;; any legislation enacted, or other action taken, in consequence of a declaration of a state of emergency. 
2;37; States of emergency ;4; ;; Any legislation enacted in consequence of a declaration of a state of emergency may derogate from the Bill of Rights only to the extent that – 
2;37; States of emergency ;4; a ;;" the derogation is strictly required by the emergency; and "
2;37; States of emergency ;4; b ;; the legislation – 
2;37; States of emergency ;4; b ; (i) ;" is consistent with the Republic’s obligations under international law applicable to states of emergency; "
2;37; States of emergency ;4; b ; (ii) ;" conforms to subsection (5); and "
2;37; States of emergency ;4; b ; (iii) ; is published in the national Government Gazette as soon as reasonably possible after being enacted. 
2;37; States of emergency ;5; ;; No Act of Parliament that authorises a declaration of a state of emergency, and no legislation enacted or other action taken in consequence of a declaration, may permit or authorise – 
2;37; States of emergency ;5; a ;;" indemnifying the state, or any person, in respect of any unlawful act; "
2;37; States of emergency ;5; b ;;" any derogation from this section; or "
2;37; States of emergency ;5; c ;; any derogation from a section mentioned in column 1 of the Table of Non‑Derogable Rights, to the extent indicated opposite that section in column 3 of the Table. 
2;37; States of emergency ;6; ;; Whenever anyone is detained without trial in consequence of a derogation of rights resulting from a declaration of a state of emergency, the following conditions must be observed: 
2;37; States of emergency ;6; a ;; An adult family member or friend of the detainee must be contacted as soon as reasonably possible, and informed that the person has been detained. 
2;37; States of emergency ;6; b ;; A notice must be published in the national Government Gazette within five days of the person being detained, stating the detainee’s name and place of detention and referring to the emergency measure in terms of which that person has been detained. 
2;37; States of emergency ;6; c ;; The detainee must be allowed to choose, and be visited at any reasonable time by, a medical practitioner. 
2;37; States of emergency ;6; d ;; The detainee must be allowed to choose, and be visited at any reasonable time by, a legal representative. 
2;37; States of emergency ;6; e ;; A court must review the detention as soon as reasonably possible, but no later than 10 days after the date the person was detained, and the court must release the detainee unless it is necessary to continue the detention to restore peace and order. 
2;37; States of emergency ;6; f ;; A detainee who is not released in terms of a review under paragraph (e), or who is not released in terms of a review under this paragraph, may apply to a court for a further review of the detention at any time after 10 days have passed since the previous review, and the court must release the detainee unless it is still necessary to continue the detention to restore peace and order. 
2;37; States of emergency ;6; g ;; The detainee must be allowed to appear in person before any court considering the detention, to be represented by a legal practitioner at those hearings, and to make representations against continued detention. The state must present written reasons to the court to justify the continued detention of the detainee, and must give a copy of those reasons to the detainee at least two days before the court reviews the detention. 
2;37; States of emergency ;6; h ;; If a court releases a detainee, that person may not be detained again on the same grounds unless the state first shows a court good cause for re‑detaining that person. 
2;37; States of emergency ;7; ;; Subsections (6) and (7) do not apply to persons who are not South African citizens and who are detained in consequence of an international armed conflict. Instead, the state must comply with the standards binding on the Republic under international humanitarian law in respect of the detention of such persons. 
2;38; Enforcement of rights ;1; ;; Anyone listed in this section has the right to approach a competent court, alleging that a right in the Bill of Rights has been infringed or threatened, and the court may grant appropriate relief, including a declaration of rights. 
2;38; Enforcement of rights ;2; ;; The persons who may approach a court are – 
2;38; Enforcement of rights ;2; a ;;" anyone acting in their own interest; "
2;38; Enforcement of rights ;2; b ;;" anyone acting on behalf of another person who cannot act in their own name; "
2;38; Enforcement of rights ;2; c ;;" anyone acting as a member of, or in the interest of, a group or class of persons; "
2;38; Enforcement of rights ;2; d ;;" anyone acting in the public interest; and "
2;38; Enforcement of rights ;2; e ;; an association acting in the interest of its members. 
2;39; Interpretation of Bill of Rights ;1; ;; When interpreting the Bill of Rights, a court, tribunal or forum – 
2;39; Interpretation of Bill of Rights ;1; a ;;" must promote the values that underlie an open and democratic society based on human dignity, equality and freedom; "
2;39; Interpretation of Bill of Rights ;1; b ;;" must consider international law; and "
2;39; Interpretation of Bill of Rights ;1; c ;; may consider foreign law. 
2;39; Interpretation of Bill of Rights ;2; ;; When interpreting any legislation, and when developing the common law or customary law, every court, tribunal or forum must promote the spirit, purport and objects of the Bill of Rights. 
2;39; Interpretation of Bill of Rights ;3; ;; The Bill of Rights does not deny the existence of any other rights or freedoms that are recognised or conferred by common law, customary law or legislation, to the extent that they are consistent with the Bill. 
